flow,avg_pkt_size,std_dev,max_pkt_size,min_pkt_size,pkt_count,avg_iat,iat_std,duration,pkt_rate,size_iqr,burstiness,label,DT_pred,RF_pred,XGB_pred
yt.csv_0.0,646.0623768877216,570.1225431787465,1494,63,1523,0.0065661102496714,0.0451805473267424,9.9936198,152.39723248226835,1217.0,23206.13278723193,video,live,live,live
yt.csv_5.0,893.6786359530262,559.6816182652648,1296,63,4428,0.0021993140953241,0.0241276789884473,9.7363635,454.7899223359933,1218.0,206693.18226086916,video,video,video,video
yt.csv_10.0,963.16915093298,536.383211857475,1296,63,9057,0.0011000987742932,0.0092753117618222,9.9624945,909.1096612399635,1176.0,825638.6097818097,video,short_video,short_video,short_video
yt.csv_15.0,978.1425160423818,529.7060597030642,1296,67,6701,0.0012720666567164,0.0138970217706833,8.5228466,786.2396584727925,1068.0,617595.044473725,video,short_video,video,short_video
yt.csv_20.0,990.2068429237949,524.9971243141249,1296,67,3215,0.0030814736776602,0.0581110173282028,9.9038564,324.62102338236656,706.5,105311.85577836676,video,video,video,video
yt.csv_25.0,1021.8926265715256,507.94394475130434,1296,68,2943,0.0028300768184908,0.0675011806198877,8.326085999999997,353.4674035315034,0.0,124852.6360086295,video,video,video,video
yt.csv_30.0,1010.191287878788,515.7354380370324,1296,69,1056,0.0079381386729857,0.123672211165281,8.374736300000002,126.0935224909708,0.0,15882.519210808678,video,video,video,video
yt.csv_35.0,236.0,366.036230090862,1292,69,24,0.1853393391304346,0.5665026990594713,4.262804799999998,5.630095940588228,51.75,30.377067221324143,video,chat,chat,chat
yt.csv_40.0,221.6,358.1453814943232,1285,69,15,0.5764189071428569,2.112955166273397,8.069864699999997,1.8587672231976835,50.5,3.2246756230384945,video,chat,chat,chat
yt.csv_45.0,449.873949579832,518.7407104272881,1292,65,119,0.0448613279661017,0.3263408458278282,5.2936367,22.47981996951169,909.5,501.0845622299764,video,live,live,live
yt.csv_50.0,576.0289855072464,567.732587067096,1292,65,207,0.0325652461165048,0.2498384582363182,6.708440700000004,30.856648997433915,1219.0,947.5040164913412,video,voip,live,live
yt.csv_55.0,907.3993584603048,564.7496491610398,1296,66,1247,0.0077154792937399,0.1378195699556497,9.613487200000002,129.71359653966147,1221.0,16809.94552073667,video,video,video,video
yt.csv_60.0,923.9554585152838,560.1973866761434,1296,69,2290,0.0032925436871996,0.0711131107612162,7.536632499999996,303.84923239921824,1221.0,92256.02003705846,video,video,video,video
yt.csv_65.0,917.0693475584736,562.7028958212541,1296,66,2437,0.0032944824712643,0.060944373297909,8.025359300000005,303.66241670949216,1221.0,92145.05595382114,video,short_video,video,video
yt.csv_70.0,910.6420988777676,564.8098382830468,1518,66,3297,0.0027812500606796,0.0586557615346224,9.16700019999999,359.6596408932121,1221.0,129269.34425346353,video,video,video,video
yt.csv_75.0,910.191095547774,565.4046771558404,1518,69,1999,0.001749163013013,0.0282703393619165,3.494827700000002,571.9881412179487,1221.0,326819.9230386178,video,short_video,short_video,short_video
amazon.csv_0.0,694.6407506702412,584.2775044228731,1494,63,1492,0.0065261751844399,0.0534383716815128,9.7305272,153.33187702306614,1221.0,23491.30714134829,browsing,live,live,live
amazon.csv_5.0,888.4809268154846,591.6201957658586,1498,63,3539,0.0027895523742227,0.0302994075613262,9.8694363,358.5817763472469,1237.0,128498.49358126654,browsing,video,video,video
