service,session,window,ip_a,ip_b,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
archive,1,0,172.17.93.240,172.217.24.110,31,3936,4.2421,927.83,126.97,196.84,30,1115,0.141404,0.684014,0.0,3.816066,3,0.4194,web
archive,1,1,172.17.93.240,172.217.24.110,9,751,0.1414,5311.18,83.44,52.51,32,147,0.017675,0.020127,0.0,0.053026,1,0.4444,web
archive,1,2,172.17.93.240,172.217.24.110,31,15127,0.082,184423.56,487.97,538.24,29,1258,0.002734,0.006393,0.0,0.033046,1,0.5161,web
archive,1,0,142.251.155.119,172.17.93.240,1029,905996,2.5139,360397.3,880.46,547.86,30,1258,0.002445,0.012468,0.0,0.235369,5,0.2566,web
archive,1,1,142.251.155.119,172.17.93.240,10,360,3.3317,108.05,36.0,1.61,33,38,0.370191,0.785461,0.009439,2.582039,5,0.5,web
archive,1,2,142.251.155.119,172.17.93.240,21,13219,0.0484,272960.25,629.48,577.97,32,1258,0.002421,0.003782,0.0,0.012264,1,0.4286,web
archive,1,0,142.250.77.99,172.17.93.240,89,64824,1.581,41002.59,728.36,578.56,31,1258,0.017966,0.153472,0.0,1.449152,2,0.3933,web
archive,1,0,142.250.205.130,172.17.93.240,22,12647,0.1191,106192.46,574.86,557.04,29,1258,0.005671,0.00986,0.0,0.03329,1,0.4545,web
archive,1,0,142.251.43.42,172.17.93.240,30,16914,0.12,140916.82,563.8,552.84,32,1258,0.004139,0.008982,0.0,0.037524,1,0.4333,web
archive,1,0,172.17.93.240,216.239.32.223,5776,5830578,4.9992,1166295.62,1009.45,489.45,33,1258,0.000866,0.003572,0.0,0.17864,2,0.2003,web
archive,1,1,172.17.93.240,216.239.32.223,5467,5455838,4.9998,1091216.25,997.96,498.74,33,1258,0.000915,0.002329,0.0,0.047894,1,0.2122,web
archive,1,2,172.17.93.240,216.239.32.223,6268,6088625,4.9851,1221358.53,971.38,516.44,33,1258,0.000795,0.001893,0.0,0.093966,1,0.2344,web
