source,window,flow_key,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
archive_session1,0,5t:142.251.155.119:443-172.17.93.240:49664/17,765,873525,2.4881,351086.45,1141.86,339.91,30,1258,0.003257,0.016147,0.0,0.261659,9,0.0,web
archive_session1,1,5t:142.251.155.119:443-172.17.93.240:49664/17,5,175,3.2335,54.12,35.0,1.79,33,38,0.808374,1.182136,0.009439,2.850287,4,0.0,web
archive_session1,0,cid:f9f70b7f7b0ad7fb,259,27858,2.4595,11326.87,107.56,218.85,37,1258,0.009533,0.026626,4.1e-05,0.238878,5,1.0,web
archive_session1,1,cid:f9f70b7f7b0ad7fb,5,185,3.0465,60.73,37.0,0.0,37,37,0.76162,1.065945,0.084955,2.604748,4,1.0,web
archive_session1,0,5t:142.250.77.99:443-172.17.93.240:49339/17,44,48441,0.0703,688873.26,1100.93,383.72,31,1258,0.001635,0.003304,0.0,0.019616,1,0.0,web
archive_session1,0,5t:142.250.205.130:443-172.17.93.240:65269/17,12,7770,0.1027,75628.46,647.5,556.13,29,1258,0.00934,0.014328,0.0,0.042666,1,0.0,web
archive_session1,0,5t:142.251.43.42:443-172.17.93.240:61365/17,17,10130,0.108,93818.22,595.88,539.74,32,1258,0.006748,0.011741,0.0,0.037524,1,0.0,web
archive_session1,0,cid:e2b55c7f5d349e9f,8,2668,0.0721,37019.5,333.5,504.41,39,1258,0.010296,0.014152,0.000112,0.043533,1,1.0,web
archive_session1,0,5t:142.250.77.99:443-172.17.93.240:63190/17,10,6322,0.0469,134820.65,632.2,538.84,31,1258,0.00521,0.009704,0.0,0.031289,1,0.0,web
archive_session1,0,5t:172.17.93.240:62715-216.239.32.223:443/17,4627,5787254,4.9998,1157500.36,1250.76,87.04,33,1258,0.001081,0.00484,0.0,0.218982,2,0.0,web
archive_session1,1,5t:172.17.93.240:62715-216.239.32.223:443/17,4308,5409270,4.9995,1081970.65,1255.63,52.91,33,1258,0.001161,0.002923,0.0,0.050284,1,0.0,web
archive_session1,2,5t:172.17.93.240:62715-216.239.32.223:443/17,4792,6019991,4.9969,1204743.69,1256.26,45.6,33,1258,0.001043,0.002356,0.0,0.09801,1,0.0,web
archive_session1,3,5t:172.17.93.240:62715-216.239.32.223:443/17,4818,6045153,4.999,1209261.25,1254.7,62.46,33,1258,0.001038,0.00289,0.0,0.108895,2,0.0,web
archive_session1,4,5t:172.17.93.240:62715-216.239.32.223:443/17,2870,3598164,4.9725,723611.44,1253.72,72.17,33,1258,0.001733,0.004959,0.0,0.100167,2,0.0,web
archive_session1,5,5t:172.17.93.240:62715-216.239.32.223:443/17,1310,1639412,4.9999,327888.87,1251.46,89.23,33,1258,0.00382,0.011297,0.0,0.115237,2,0.0,web
archive_session1,6,5t:172.17.93.240:62715-216.239.32.223:443/17,1295,1624214,4.9269,329665.5,1254.22,67.92,33,1258,0.003807,0.018261,0.0,0.281099,10,0.0,web
